1. mempool-congest      Score: +6.84  [{'hpCost': 7}]
2. dag-overclock        Score: +6.65  [{'damageMultiplier': 1.85, 'incomingDamageReduction': 0.0}]
3. 10bps-barrage        Score: +6.60  [{'energyRegenBonus': 22}]
4. pruned-rage          Score: +6.60  [{'damageMultiplier': 1.6, 'blockDisabled': True}]
5. finality-fist        Score: +6.59  [{'damageMultiplier': 2.25}]
6. block-fortress       Score: +6.56  [{'reflectPercent': 10.5}]
7. vaultbreaker         Score: +6.56  [{'energySteal': 35}]
8. chainbreaker         Score: +6.54  [{'damageMultiplier': 1.53}]
9. orphan-smasher       Score: +6.52  [{'counterMultiplier': 2.25}]
10. blue-set-heal        Score: +6.50  [{'hpRegen': 6.5}]
11. ghost-dag            Score: +6.50  [{'randomWinChance': 0.83}]
12. bps-blitz            Score: +6.42  [{'lifestealPercent': 0.82}]
13. sompi-shield         Score: +6.42  [{'incomingDamageReduction': 0.82}]
14. hash-hurricane       Score: +6.42  [{'randomWinChance': 0.82}]
15. tx-storm             Score: +6.40  [{'energyRegenBonus': 38, 'hpCost': 5}]
